COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
342	j u k i	j u k i	j ui	j u k i	j u k i	j u ts ɨ	e k i	j u k i	j u tɕ i	j u k i
346	k u r a s a r i	k u r a kʲ a	k ui r e	k u r a i	k u r a i	fː a	k u r eː	k u r a i	k u r a s a ɴ	k u r a i
347	k i r u r i	k i r u	k i t	k i r u	k i r u	ts ɨː ts ɨː	k i r u	k i r u	tɕ i j u ɴ	k i r u
348	h i r u s a r i	h i r o kʲ a	h i r e	h i r o i	h i r o i	pˢ ɨ s u	ɸ u r eː	h i r o i	h w i r u s a ɴ	h i r o i
351	θ uː s a r i	t oː kʲ a	t o j e	t oː i	t o i	t uː	t o w eː	t oː k ui	t uː s a ɴ	t oː i
361	ʔ u b u s a r i	o m o kʲ a	o i m i	o m o t a i	o m o t a i	i v u	o m eː	o m o i	ʔ ɴ b u s a ɴ	o m o i
379	k u s a r e θ a	k u s a r u a	k e sː a r e t a	k u s a tː a	k u s a tː a	f u s a r i t a m	k u s a tː a	k u s a tː a	k u tsː oː r u	k u s a tː a
394	h i dʑ a r i	h i d a r i	h i d a i	h i d a r i	h i d a r i	p ɨ d a ɭ	ɸ u d a r i	h i d a r i	h w i z a i	h i d a r i
395	n i g i r i	n i g i r i	m iː	m i g i	m i ŋ i	n ts ɨ	m i ŋ i	m i g i	n i dʑ i r i	m i ŋ i
400	h i pː a r u r i	h i pː a r u	h i pː a	h i pː a r u	h i pː a r u	p i k a u	ɕ a b a r u	h i pː a r u	h w i ts u ɴ	h i pː a r u
412	s e h e r u r i	s a k e r u	s a k u	ɕ a k e r u	s a k e r u	s a k i ɭ	s a k e r u	s a k e r u	s a k i j u ɴ	s a k e r u
413	ts ɨ k i s a s u r i	ts u tɕː a s u	ts u iː s a	t u k i s a s u	ts u k i s a s u	ts ɨ f u	s a s u	ts u k i s a s u	ɕ i tɕ i k u dʑ i j u ɴ	ts u k i s a s u
414	h u r u r i	h o r u	h o	h o r u	h o r u	p u ɭ	h o r u	h o r u	h u j u ɴ	h o r u
422	h u k u r ɨ r u r i	h u k u r e r u	h u k u r u	h u k u r e r u	h u k u r e r u	f u k u r i ɭ	ɸ u k u r e r u	h u k u r e r u	h u kː w i j u ɴ	h u k u r e r u
423	x a ɴ g e r u r i	k a ɴ g i a r u	k a ɴ g u	k a ɴ g a e r u	k a ɴ ŋ a e r u	k a ŋ g a i ɭ	k a ɴ ŋ a e r u	k a ɴ g a e r u	k a ɴ g eː j u ɴ	k a ɴ ŋ a e r u
430	h a x u r i	h a k u	h a	h a k u	h a k u	p a f u	h a k u	h a k u	h a ts u ɴ	h a k u
435	h u k u r i	h u k u	h u	h u k u	h u k u	fː u	ɸ u k u	h u k u	h u ts u ɴ	h u k u
446	ɕ aː tɕ i	s i t a	s i t e	s i t a	s i t a e	s ɨ t aː r a	s i t a	s i t a	s i ts a ɴ k a i	s i t a e
447	ʔ w ɨː tɕ i	w e	u eː	u e	u eː	w aː r a	e w e	u e	ʔ w iː ɴ k a i	u eː
458	θ u s i	t o s i	t o ɕ	t o s i	t o s i	t u s ɨ	t o s i	t o s i	t u s i	t o s i
56	tɕ u	h i t o	h iː t o	h i t o	h i t o	p ɨ t u	ɸ u t o		tsː u	h i t o
62	ʔ i ɴ		i ɴ	i n u	i n u	i n	e n o	i n u	ʔ i ɴ	i n u
65		k u a	k a w a	k a w a	k a w a	k aː	k a w a	k a w a	k aː	k a w a
70	θ a n ɨ	t a n e	t a n e	t a n e	t a n e	t a n i	t a n e	t a n e		t a n e
75		k u a b e	k a w a	k a w a	k a w a	k aː	k a w a	k a w a	k aː	k a w a
96	m ɨː		m e	m e	m eː	m iː	m e	m e	m iː	m e
101	h w a		h a	h a	h aː	p aː	ɸ a	h a	h aː	h a
114	k u b i	k u b i	k ui	k u b i	k u b i		k u b i	k u b i	k u b i	k u b i
119	k i m o	k i m o	k i m o	k i m o	k i m o	ts ɨ m u		k i m o	tɕ i m u	k i m o
134	s i tɕ u r i		s i j i tɕ o	s i tː j uː	s i tː e r u	s ɨː	s i tɕː o r u	s i tː o r u	s i tsː oː ɴ	s i tː e r u
138	s i mʲ u r i		s iː ɴ	s i n u r u	s i n u	s ɨ n	s i n o r u	s i n u	s i n u ɴ	s i n u
146	ʔ a kː u r i		a j u ɴ	a r u k u	a r u k u	a ɭ ɨ f u	a r u k u	a r u k u	ʔ a tsː u ɴ	a r u k u
161	ʔʲ u r i	j u	j u i u	j uː	j uː		e o	j uː	ʔʲ u ɴ	j uː
171		k u a	k a i w a	k a w a	k a w a	k aː	k a w a	k a w a	k aː r a	k a w a
182	x ɨ b u s i		k e i m ui	k e m u r i	k e m u r i	k i β u s ɨ	k e m o r i	k e m u r i	k i b u s i	k e m u
188	j a m a	j a m a	j a m a	j a m a	j a m a	j a m a	j a m a	j a m a		j a m a
196	j u r u	j o r u		j o r u	j o r u	j u ɭ	j o r u	j o r u	j u r u	j o r u
262	h i r u h i ɴ m a	h i r u m a	h i j i	h i r u m a	h i r u m a		ɸ i r u	h i r u m a	h w i r u	h i r u m a
300	h u s u	h e tsː o g o	h e i s o	h e s o	h e s o		ɸ e s o	h e s o	h u s u	o h e s o
313	n a ɴ θ ɨ	d e	d e	d e	d e		d e	d e	u t i	d e
350	s e b a s a r i	s e b a kʲ a	s e m e	s e b a i	s e b a i		s e m eː	s e m a i	ʃ i b a s a ɴ	s e m a i
352	tɕ i kʲ a s a r i	tɕ i k a kʲ a	tɕ i k e	t i k a i	tɕ i k a i		tɕ i k eː	tɕ i k a i	tɕ i ts a s a ɴ	tɕ i k a i
396	h u r u s a r i	h u r u s i kʲ a	ɸ u r i	h u r ui	h u r ui		ɸ u r iː	h u r u s iː	h u r u s a ɴ	h u r ui
401	ʔ u s u r i	o s u	o i s		o s u	u s ɨ	o s u	o s u	ʔ u ɕ u ɴ	o s u
420	ʔ u θ ɨ r u r i	o t e r u	o ts u		o tɕ i r u	u t i ɭ	o tɕ i r u	o tɕ i r u	ʔ u t i j u ɴ	o kː o tɕ i r u
424	o θ a u r i	u t o u	ui t o	u t a u	u t a u		o t a o	u t a u	ʔ u t a j u ɴ	u t a u
442	s e m e ts ɨ k ɨ r u r i	s i m e ts u k e r u	s i m e ts u k u	s i m e r u		ʃ i m i ɭ	s i m e r u	s i m e ts u k e r u	s i m i j u ɴ	s i m e ts u k e r u
455	ʔ i k i tɕ u r i	i k i t e	i k iː tɕː o	i k i tʲ uː	i k i t e r u		e k e tɕ o r u	i k i t o r u	ʔ i tɕ i ts oː ɴ	i k i t e r u
15	ʔ a r ɨ		a iː	a r e	a r e		a r e	a r e	ʔ a r i	a r e
22		n a kː j a	n a k a	n a i	n a i		n eː	n a i	n eː ɴ	n a i
24		m i ɴ n a		m i ɴ n a	m i ɴ n a	mː n a	ɴː n a	m i ɴ n a	ɴ n a	m i ɴ n a
49	o n a g u	o ɴ n a g o	o n a g o	o n a g o	o n a ŋ o			o ɴ n a	w i n a g u	o ɴ n a
78		a b u r a n i k u	a b u r a m i	a b u r a	a b u r a	a vː a	a b u r a	a b u r a n i k u		a b u r a m i
89		k iː	k e i	k e	k eː		k e	k e	k iː	k e
130	mʲ uː r i		m i	m i r u	m i r u	m iː ɭ	m i r u	m i r u		m i r u
149	x u r i	k u r u	k u	k u r u	k u r u		k u r u	k u r u		k u r u
175	s ɨ n a		z ui n a	s u n a	s u n a		s u n a	s u n a	ʃ i n a	s u n a
183		h i	h i	h i	h iː		ɸ i	h i	h w iː	h i
192		a o kʲ a	a o	a o i	a o i	a u	a w eː	a o i		a o i
199	ʔ a ts ɨ s a r i		a tɕ i	a t ui	a ts ui	a ts ɨ		a ts ui	ʔ a ɕ i s a ɴ	a ts ui
230	ʔ a ɴ tɕ u		a iː	a n o h i t o	a n o h i t o		a r e	a n o h i t o	ʔ a n u tsː u	a n o h i t o
233	ʔ a ɴ tɕ u ɴ x j a		a iː d o ɴ	a n o h i t o t a t i	a n o h i t o j a r a		a e r a	a n o h i t o t a tɕ i	ʔ a tː aː	a n o h i t o t a tɕ i
250		h o k u a	h o k a ɴ	h o k a n o	h o k a n o	p u k a n u	h o k a n o	h o k a n o ɴ		h o k a n o
264	k i r i	k i r i	k i j i	k i r i	k i r i	ts ɨː			tɕ i r i	k i r i
274	n eː θ a		n u r e i t a	n u r e t a	n u r e t a		n o r e t a	n u r e t a	ɴ d i t oː r u	n u r e t a
298	x ɨ ɴ x o	k e g u a	k e g a i w a	k e g a w a	k e ŋ a w a		k e ŋ a w a	k e g a w a		k e ŋ a w a
303	w a θ a	h a r u t a	z u z u w a t a	h a r a w a t a	h a r a w a t a		h a r a w a t a	h a r a w a t a		h a r a w a t a
314		m o s i	m o ɕ i k a		m o s i	m u s ɨ	m o s i	m o s i	m u s i	m o s i
354	ʔ a tɕ i ɕ a r i	a ts u kʲ a	a i tɕ i	a t ui			a tɕ iː	a ts ui	ʔ a ɕ i s a ɴ	a ts ui
369	k i r i r u ɴ	k i r e r o	k i r u	k i r e r u	k i r e r u	tʃː i	j oː			k i r e r u
376	w a r u s a r i	w a r u kʲ a	w a r i		w a r ui		w a r iː	w a r ui	w a sː a ɴ	w a r ui
415	m u s u b u r i	m u s u b u		m u s u b u	m u s u b u		m o s u b u	m u s u b u	m u s u b u ɴ	m u s u b u
418	n o u r i		n uː	n uː	n uː	n u z ɨ	n oː	n oː		n uː
451		h o k o r i		h o k o r i	h o k o r i	p u k i	h o k e	h o k o r i	h u k ui	h o k o r i
456	ts ɨ n a	ts u n a	ts u n a	t u n a		ts ɨ n a	ts u n a		ɕ i n a	ts u n a
59	ʔʲ u		iː o	u o		i z o	e o	u o	ʔ i j u	
72		n i k u	n i	n i k u	n i k u		n i k u	n i k u		n i k u
80		t a m a g o	t a m a g o	t a m a g o	t a m a ŋ o		t a m a ŋ o	t a m a g o		t a m a ŋ o
104		a s i	a ɕ	a s i	a s i		a s i	a s i		a s i
118	s i ɴ d o	s i ɴ z oː	s i ɴ i z oː		s i ɴ z oː		s i ɴ z oː	s i ɴ z oː		s i ɴ z oː
142	θ u b u r i		t o i	t o b u	t o b u		t o b u		t u b u ɴ	t o b u
150		n e t e	n e i tɕ o	n e j uː	n e t e r u		n e tɕ oː r u	n e t o r u		n e t e r u
204		i pː i a	pː e	i pː a i	i pː a i		e pː eː	i pː a i		i pː a i
240		d o k o	d o k o	d o k o	d o k o		d o k o	d o k o		d o k o
245		k o k o	k o k o	k o k o	k o k o		k o k o	k o k o		k o k o
-260	θ ɨ ɴ		t e i ɴ		t e ɴ	t i n	t e ɴ	t e ɴ dʑ i k u	t i ɴ	
294	h a ɴ g e	h a n e	h a i n e		h a n e		h a n e		h a n i	h a n e
307		m i	m iː	m i	m iː		m i	m i		m i
339		ɕ o	s i o	s i j o	s i o		s i o	s i o		s i o
341		k oː r i	k oː i	k oː r i	k oː r i		k oː r i	k oː r i		k oː r i
343		k oː r u	k oː	k oː r u	k oː r u		k oː r u	k oː r u		k oː r u
344		k o d o m o	k o i d o ɴ	k o d o m o	k o d o m o		k o d o m o	k o d o m o		k o d o m o
356		u s u kʲ a	ui s i	u s ui	u s ui		o s iː	u s ui		u s ui
359		m i dʑ i k a kʲ a	m i ɕ k e	m i z o i	m i dʑ i k a i		m e tɕ i k eː	m i dʑ i k a i		m i dʑ i k a i
384	m a sː ɨ g u	m a sː u g u d u a	m a sː u g u	m a sː u g u	m a sː u ŋ u n a			m a sː u g u		m a sː u ŋ u n a
398		k o s u r u	k o s u	k o s u r u	k o s u r u		k o s u r u	k o s u r u		k o s u r u
444	m u θ u r i				m o ts u	m u ts ɨ	m o ts u	m o ts u	m u ts u ɴ	m o ts u
20			n a iː	n a n i	n a n i		n a n i	n a n i		n a n i
53			o t o k o	o t o k o	o t o k o		o t o k o	o t o k o		o t o k o
111		h a r a	h a r a	h a r a	h a r a		ɸ a r a	h a r a		
153			s u w a iː tɕ o	s u w a r u	s u w a tː e r u		s u w a r u	s u w a r u		s u w a tː e r u
179		tɕ i tɕ i		t u t i	ts u tɕ i		tɕ i tɕ i	ts u tɕ i		ts u tɕ i
247			a s i k o	a k o	a k o		a s u k o	a k o		a s u k o
278		h e b u m e	h e	h e b i	h e b i			h e b i		h e b i
283			s e n a k a	s e n a k a	s e n a k a		s e n a	s e n a k a		s e n a k a
289		u d e		u d e		u d i	o d e	u d e		u d e
296		k u tɕ i b i r u		k u t i b i r o	k u tɕ i b i r u		k u tɕ i b e r o	k u tɕ i b e r a		k u tɕ i b i r u
318		k a k a	o k aː h a ɴ	o k aː s a ɴ	o k aː tɕ a ɴ		k a k a			o k aː s a ɴ
362	k i r i r a ɴ	k i r e ɴ n u a	k i r e ɴ		k i r e h e ɴ		k i r e ɴ			k i r e n a i
404	n a g ɨ r u r i		n a g u				n a ŋ e r u	n a g e r u	n a g i j u ɴ	n a ŋ e r u
84		o b a		o	oː		o	o		
91				a t a m a	a t a m a		a t a m a	a t a m a		a t a m a
128			k a ɴ ts u		k a m i ts u k u		k a m u	k a m i ts u k u		k a m i ts u k u
136	n ɨ b u r u r i		n e i m u tɕː o i			n i v			n i ɴ z u ɴ	n e m u r u
203			s a m i		s a b ui		s a b iː	s a m ui		s a m ui
211				eː	eː		eː	eː		iː
218		k u a tː e	k a e t a	k a w a i t a	k a w a i t a					k a w a i t a
238				d oː	d oː		d o ŋ e	d o g a i n i		d oː
269	ʔ i x i	i k e		i k e			e k e	i k e		
288			a ɕ	a s i	a s i		a s i			a s i
370		k i t a n a kʲ a	k i sː a n e		k i t a n a i		k i t a n eː			k i t a n a i
432			s u i u		s uː		s uː	s uː		s uː
448	ʔ u d u ɴ	u m u				mː		u ɴ d a	ʔ ɴ d oː r u	
1	w a ɴ	w a r e				b a n			w a ɴ	
11	w a x j a	w a r e ɴ i s a				b a n t iː			w a tː aː	
38					oː k iː	u k u		oː k iː		oː k iː
43			tɕ i ɴ k e		tɕ iː s a i			tɕ iː s a i		tɕ i tɕː a i
107		h i dʑ a k a b u r a			h i z a			h i z a		h i z a
126	k ui ts ɨ k ɨ r u r i	k ui ts u k u		k ui t u k u					k uː j u ɴ	
-136				n e r u	n e r u		n e r u	n e b u r u		
160	k u r ɨ r u r i		k ui r u			f iː ɭ			k w iː j u ɴ	
164				o h i s a m a	o h i s a ɴ		o ɸ i s a ɴ			o h i s a m a
201	h i g u r u s a r i			h i j a i		p i ʃ i			h w iː s a ɴ	
210	m iː s a r i		n i k e			m ɨː			m iː s a ɴ	
207		a t a r a s i kʲ a					a t a r a s i	a t a r a s iː		a t a r a s iː
256			s u nː e		s u k e n a i			s u k u n a i		s u k u n a i
297	ʔ w ɨː s ɨ b a		s u b a			s u b a			ʃ i b a	
323			o t o tsː a ɴ	o t oː s a ɴ	o t o tɕː a ɴ					o t oː s a ɴ
331	u θ u					b u t u		o tː o	u t u	
338				k a n a i	k a k a			k aː s a ɴ		k a n a i
382			ts u r u ɴ		ts u r u ts u r u		ts u r u ts u r u	ts u r a ts u r a		
387				eː	eː		eː			iː
440	ʔ u θ u r u ɕ a		o t o r o sː e s ui				o s o r e r u		ʔ u t u r u s a	
2				a s i	w a t e					w a t a s i
3			o iː				o r a	o r e		
10	ʔʲ a					vː a			ʔʲ aː	
12				a s i r aː	w a t e r a					w a t a s i t a tɕ i
13			o i d o ɴ				o r a r a	o r a tɕ i		
21	n uː					n a u			n uː	
39			h u t e	h u t o i			ɸ u t eː			
58		s a k a n a			s a k a n a					s a k a n a
73	s i s i					s ɨː s ɨ			s i s i	
85	z u b u					dz uː			z uː	
109	ts ɨ b u s i					ts ɨ g u s ɨ			tɕ i ɴ s i	
113	w a θ a					b a t a			w a t a	
122				t a b e r u	t a b e r u					t a b e r u
123			k uː				k uː	k uː		
155	i r u r i	i t e							i ts oː n	
159				j a r u			j a r u	j a r u		
167	θ e d a					t i d a			t iː d a	
178	m i tɕ a					m t a			ɴ ts a	
217	x o r a tɕ a ɴ					k aː r a ts ɨ			k aː r a ts oː r u	
222	ʔʲ a x j a					vː a d u			ʔ i tː aː	
235	x j a s i		i k e ɴ						ts aː	
244	x u m a					k o m a n			k u m a	
261		s o r a		s o r a						s o r a
270			m i z u i u ɴ		m i z uː m i					m i z uː m i
287	h a g i	h a g i				k a r a p a dz ɨ				
290			t e		t eː				t iː	
306	n a r i					n a ɭ			n a i	
330				ɕ u dʑ i ɴ	ɕ u dʑ i ɴ					ɕ u dʑ i ɴ
336	θ u dʑ i					t u dz ɨ			t u dʑ i	
340	m a ɕ u					m aː s o			m aː ɕ u	
345	w a r a b ɨ					j a r a b i			w a r a b i	
357	h i sː a r i					pˢ ɨ s ɨ			h w i sː a ɴ	
381		z u b e r u a		s u b e s u b e s i tʲ uː						s u b e kː o i
403		h oː r u		h oː r u	h o r u					
406		n a g u r u						n a g u r u		n a ŋ u r u
410	ʔ u θ u r i		u tː a k u						ʔ u ts u ɴ	
427							k a ŋ u	k a g u		k a ŋ u
429	x a z a m u r i		k a i z u ɴ						k a dʒ a ɕ u ɴ	
450			u r e i t a	u r e t a			o r e t a			
5					a ɴ t a					a n a t a
23	ʔ a r a ɴ					a r a ŋ				
34	ɕ o g o ɕ a ɴ					u k aː ʃ a				
32				j o k e	j oː k e					
45							k o m eː		g u m a s a ɴ	
54						b ɨ k i d u m			w i k i g a	
81	x o g a								k uː g a	
86			s iː b o							s i pː o
88	h i g i					pˢ ɨ g i				
90		ts u b u r i							ɕ i b u r u	
106						p ɨ s a			h w i ɕ a	
-107			h iː z a				ɸ u z a			
117				k i m o					tɕ i m u	
124	x a m u r i								k a n u ɴ	
151	n ɨ h u θ u r i								n i ɴ t oː ɴ	
158					a ŋ e r u					a ŋ e r u
184	u a ts ɨ					u m a ts ɨ				
191	ʔ oː s a r i								ʔ oː s a ɴ	
206						m t i			m iː	
215		j o kː j a	j o k a							
224					a ɴ t a r a					a ɴ t a t a tɕ i
248	ʔ a m a								ʔ a m a	
251	b i tɕ i n a								b i ɕ i n u	
258	ʔ i k i r a s a r i								ʔ i k i r a s a ɴ	
255		tɕ iː t o					tɕ iː t o			
265							m o j a	m o j a		
280	n a g a m u ɴ								n a g a m u ɴ	
286								m u k oː z u n e	h w i ɕ a	
355					g o ts ui	u d a				
360	ʔ i kː j a s a r i								ʔ i ɴ ts a s a ɴ	
383	n a b i r o s a r i					n a b ɭ ɨː				
386						m a tː oː β u			m a tː oː b a	
399	s ɨ r u r i								ʃ i j u ɴ	
426		k a m a r u		k a m u						
433	s i b u r u r i								ʃ i p u j u ɴ	
431		n o m u		n o m u						
437					k o w a ŋ a r u					k o w a ŋ a r u
443		s a g e r u		s a g e r u						
449					dʑ u k u s i t a					dʑ u k u s i t a
457					n a w a			n a w a		
